Ã…LAND ISLANDS,Euro,EUR,978,2,
AMERICAN SAMOA,US Dollar,USD,840,2,
ANDORRA,Euro,EUR,978,2,
AUSTRALIA,Australian Dollar,AUD,036,2,
AUSTRIA,Euro,EUR,978,2,
BELGIUM,Euro,EUR,978,2,
BHUTAN,Indian Rupee,INR,356,2,
"BONAIRE, SINT EUSTATIUS AND SABA",US Dollar,USD,840,2,
BOUVET ISLAND,Norwegian Krone,NOK,578,2,
BRAZIL,Brazilian Real,BRL,986,2,
BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,USD,840,2,
BULGARIA,Bulgarian Lev,BGN,975,2,
CANADA,Canadian Dollar,CAD,124,2,
CHINA,Yuan Renminbi,CNY,156,2,
CHRISTMAS ISLAND,Australian Dollar,AUD,036,2,
COCOS (KEELING) ISLANDS (THE),Australian Dollar,AUD,036,2,
COOK ISLANDS (THE),New Zealand Dollar,NZD,554,2,
CROATIA,Kuna,HRK,191,2,
CYPRUS,Euro,EUR,978,2,
CZECH REPUBLIC (THE),Czech Koruna,CZK,203,2,
DENMARK,Danish Krone,DKK,208,2,
ECUADOR,US Dollar,USD,840,2,
EL SALVADOR,US Dollar,USD,840,2,
ESTONIA,Euro,EUR,978,2,
EUROPEAN UNION,Euro,EUR,978,2,
FAROE ISLANDS (THE),Danish Krone,DKK,208,2,
FINLAND,Euro,EUR,978,2,
FRANCE,Euro,EUR,978,2,
FRENCH GUIANA,Euro,EUR,978,2,
FRENCH SOUTHERN TERRITORIES (THE),Euro,EUR,978,2,
GERMANY,Euro,EUR,978,2,
GREECE,Euro,EUR,978,2,
GREENLAND,Danish Krone,DKK,208,2,
GUADELOUPE,Euro,EUR,978,2,
GUAM,US Dollar,USD,840,2,
GUERNSEY,Pound Sterling,GBP,826,2,
HAITI,US Dollar,USD,840,2,
HEARD ISLAND AND McDONALD ISLANDS,Australian Dollar,AUD,036,2,
HOLY SEE (THE),Euro,EUR,978,2,
HONG KONG,Hong Kong Dollar,HKD,344,2,
HUNGARY,Forint,HUF,348,2,
ICELAND,Iceland Krona,ISK,352,0,
INDIA,Indian Rupee,INR,356,2,
INDONESIA,Rupiah,IDR,360,2,
IRELAND,Euro,EUR,978,2,
ISLE OF MAN,Pound Sterling,GBP,826,2,
ISRAEL,New Israeli Sheqel,ILS,376,2,
ITALY,Euro,EUR,978,2,
JAPAN,Yen,JPY,392,0,
JERSEY,Pound Sterling,GBP,826,2,
KIRIBATI,Australian Dollar,AUD,036,2,
KOREA (THE REPUBLIC OF),Won,KRW,410,0,
LATVIA,Euro,EUR,978,2,
LESOTHO,Rand,ZAR,710,2,
LIECHTENSTEIN,Swiss Franc,CHF,756,2,
LITHUANIA,Euro,EUR,978,2,
LUXEMBOURG,Euro,EUR,978,2,
BITCOINS,XBT,BTC
